Site Name,Address,Post Code,Location Type,Ward,Sticker,Postcode area,Site Number,UPRN,Latitude,Longitude,y,x,Recyclables-Mixed Glass,Recyclables-Paper,Recyclables-Textiles,Recyclables Small Electrical,Non LCC Banks,Type,Tally of Sites,Cleaning,No of  Glass Banks,Apr 20 Glass Tonnage Kg,May 20 Glass Tonnage Kg,Jun 20 Glass Tonnage Kg,Jul 20 Glass Tonnage Kg,Aug 20 Glass Tonnage Kg,Sep 20 Glass Tonnage Kg,Oct 20 Glass Tonnage Kg,Nov 20 Glass Tonnage Kg,Dec 20 Glass Tonnage Kg,Jan 21 Glass Tonnage Kg,Feb 21 Glass Tonnage Kg,Mar 21 Glass Tonnage Kg
Angel Inn,"55 Wakefield Road, Rothwell",LS26 0SF,Pub,Ardsley and Robin Hood,Y,LS26,21907,72373011,53.747997,-1.507937,428071,432547,Y,,,,,Glass,1,,3,356.31,1590.8,483.89,945.74,1798.26,,,,,,,
Archery Road,Archery Road,LS2 9AR,Road Side,Hyde Park and Woodhouse,,LS2,,72666640,53.808231,-1.548826,434755,429808,,,Y,Y,,"Textile, Small Electrical Appliances",,,0,,,,,,,,,,,,
Armley Liberal Club,Armley Lodge Road,LS12 2AT,Social Club,Armley,,LS12,21907,72006069,53.79901,-1.587747,433713,427251,Y,,,,,Glass,,,,,,,,109.54,,,,,,,
ASDA - Adel,Holt Park,LS16 7RY,Supermarket,Adel and Wharfedale,,LS16,20457,72552152,53.856074,-1.606008,440055,426013,Y,Y,Y,,,"Glass, Paper, Small electrical applicances, Textiles",1,,7,22460.17,36102.86,26528.96,26336.35,21949.15,,,,,,,
ASDA - Killingbeck,Killingbeck Drive,LS14 6UF,Supermarket,Killingbeck and Seacroft,,LS14,20459,72247070,53.806674,-1.476545,434614,434569,Y,,Y,Y,,"Glass, Textile, Small electrical appliances",1,,,8642.64,13372.53,13034.88,8991.54,11132.39,,,,,,,
ASDA - Kirkstall,385 Kirkstall Road,LS4 2EZ,Supermarket,Kirkstall,Y,LS4,22127,72565137,53.807124,-1.587181,434616,427283,Y,Y,Y,,,"Glass, Paper, Textile",1,,3,8481.32,8032.7,10909.75,8050.56,5026.42,,,,,,,
ASDA - Morley,"Howey Park Road, Morley",LS27 0BN,Supermarket,Morley South,,LS27,20458,72394479,53.735223,-1.61014,426608,425815,Y,Y,Y,,,"Glass, Paper, Textile",1,,,14076.78,21426.77,25369.52,17870.15,14827.41,,,,,,,
ASDA - Pudsey,"Owlcotes Shopping Centre, Stanningley By-Pass",LS28 6AR,Supermarket,Calverley and Farsley,,LS28,20456,72557455,53.803682,-1.671503,434204,421732,Y,Y,,,,"Glass, Paper",1,,,16020.17,27511.08,26736.32,23054.48,17653.92,,,,,,,
Back Vicars Road,Shepherds Lane,LS8 4LG,Road Side,Gipton and Harehills,Y,LS8,21912,72183877,53.815432,-1.52067,435568,431657,Y,,,,,Glass,1,,1,125.47,345.76,260.16,549.96,,,,,,,,
"Bar 33, formerly The New Inn","33 Town Street, Farsley",LS28 5HX,Pub,Calverley and Farsley,Y,LS28,22131,72276206,53.812347,-1.671723,435168,421713,Y,,,,,Glass,1,,1,1330.39,2680.54,1630.89,1614.59,1072.04,,,,,,,
Bay Horse,"Woodhouse Hill Road, Hunslet",LS10 2DN,Pub,City and Hunslet,Y,LS10,21915,72548511,53.772257,-1.530382,430760,431049,Y,,,,,Glass,1,,1,421.4,,650.61,,645.1,,,,,,,
Bay Horse Inn,"66 Town Street, Farsley, Pudsey",LS28 5LF,Pub,Pudsey,Y,LS28,,72276260,53.813396,-1.670622,435285,421785,Y,,,,,Glass,1,,1,,,,,,,,,,,,
Beech Hotel,"8 Tong Road, Wortley",LS12 1HX,Pub,Armley,,LS12,22989,72215515,53.790874,-1.574514,432813,428128,Y,,,,,Glass,1,,1,562.49,140.06,406.57,541.07,,,,,,,,
Beechwood WMC,Ramshead Drive,LS14 1BS,Social Club,Killingbeck and Seacroft,Y,LS14,21918,72539505,53.829393,-1.471582,437144,434877,Y,,,,,Glass,1,,1,,,,,863.27,,,,,,,
Bennett Road,Bennett Road,LS6 3BA,Road Side,Headingley,,LS6,,72572287,53.820496,-1.577445,436108,427915,,,Y,,,Textile,,,0,,,,,,,,,,,,
Belle Isle WMC,"Town Street, Middleton",LS10 3PE,Social Club,Middleton Park,Y,LS10,21920,72548580,53.754842,-1.527058,428824,431281,Y,,,,,Glass,1,,1,4119.34,4065.41,5472.6,2990.92,2316.83,,,,,,,
Bingley Arms,"37 Church Lane, Bardsey",LS17 9DR,Pub,Harewood,,LS17,21922,72388698,53.881582,-1.448349,442962,436361,Y,,,,,Glass,1,,1,4092.53,5688.43,4430.87,4587.35,3636.29,,,,,,,
Bird in Hand,"Springmead Drive, Garforth",LS25 1JW,Pub,Garforth and Swillington,Y,LS25,21923,72316625,53.789438,-1.382648,432746,440769,Y,,,,,Glass,1,,1,357.14,343.27,,533.76,318.05,,,,,,,
Black Bull Inn,"Commercial Street, Rothwell",LS26 0AX,Pub,Rothwell,Y,LS26,21924,72375654,53.748472,-1.475858,428139,434662,Y,,,,,Glass,1,,1,356.31,93.58,,,,,,,,,,
Blands Arms,"Great North Road, Micklefield",LS25 4AQ,Pub,Kippax and Methley,Y,LS25,21925,72322081,53.79412,-1.32729,433300,444411,Y,,,,,Glass,1,,1,1225.78,1052.05,1220.86,1610.24,939.03,,,,,,,
Boston Spa School,"Clifford Moor Road, Boston Spa",LS23 6RW,Educational Facility,Wetherby,Y,LS23,21963,72555408,53.900101,-1.361994,445070,442019,Y,,,,,Glass,1,,1,,,,,,,,,,,,
Brackenwood Community Centre,Brackenwood Drive,LS8 1RG,Community Centre,Roundhay,Y,LS8,22051,72560195,53.83801,-1.524616,438078,431380,Y,,,,,Glass,1,,2,,,,,3466.86,,,,,,,
Brackenwood Drive/Bus Turning Circle,Brackenwood Drive,LS8 1SF,Road Side,Roundhay,Y,LS8,22032,72636036,53.832026,-1.522336,437415,431298,Y,,,,,Glass,1,,1,4211.37,4419.83,3830.12,4824.06,,,,,,,,
Bramham Primary School,Bramham Road,LS23 6JQ,Educational Facility,Wetherby,Y,LS23,21926,72567765,53.887022,-1.35171,443621,442708,Y,,,,,Glass,1,,2,5305.82,7214.4,6211.35,5011.24,5009.31,,,,,,,
Bramley Band Club,Elswick Terrace,LS13 2BG,Social Club,Armley,Y,LS13,21927,72217864,53.808907,-1.623595,434801,424884,Y,,,,,Glass,1,,1,297.06,0,0,,509.81,,,,,,,
Bramley Social Club - Villagers,340 Broad Lane,LS13 2HF,Social Club,Bramley and Stanningley,Y,LS13,21929,72027824,53.816939,-1.631118,435692,424384,Y,,,,,Glass,1,,2,439.94,3463.09,5147.34,2756.26,3086.98,,,,,,,
Bramley WMC,Elder Road,LS13 4BY,Social Club,Pudsey,Y,LS13,21930,72064109,53.804823,-1.631376,434344,424374,Y,,,,,Glass,1,,3,1005.58,,1314.23,555.37,1195.49,,,,,,,
Brick Hotel,Tong Road,LS12 3TP,Pub,Farnley and Wortley,,LS12,21931,72216134,53.793066,-1.605718,433045,426071,Y,,,,,Glass,1,,,1163.9,1015.62,2018.78,556.35,1271.38,,,,,,,
British Legion Club now Robin Lane Club,"Robin Lane, Pudsey",LS28 7BR,Social Club,Pudsey,Y,LS28,21933,72567612,53.794986,-1.660185,433240,422482,Y,,,,,Glass,1,,1,2400.65,3680.19,3362.89,2733.48,2510.68,,,,,,,
British Lending Library,Thorpe Arch,LS23 7BQ,Business,Wetherby,Y,LS23,21934,72393710,53.919742,-1.32142,447280,444664,Y,,,,,Glass,1,,1,,,,,,,,,,,,
Burley Road,Burley Road,LS4 2NZ,Road Side,Kirkstall,,LS4,,7259800,53.810572,-1.585043,435001,427417,,,Y,Y,,"Textile, Small Electrical Appliances",,,0,,,,,,,,,,,,
British Oak Public House,"Westerton Road, East Ardsley",WF3 1AF,Pub,Ardsley and Robin Hood,Y ,WF3,21935,72370410,53.723972,-1.57625,425369,428058,Y,,,,,Glass,1,,1,4263.22,4708.17,5848.38,3766.9,751.33,,,,,,,
Broadlea Hill Community Centre,"Broadlea Hill, Bramley",LS13 2SN,Community Centre,Bramley and Stanningley,Y,LS13 ,23186,72028337,53.817594,-1.618634,435769,435769,Y,,,,,,,,,,,292.05,101.66,,,,,,,,
Bruntcliffe WMC,"Wakefield Road, Morley",LS27 0LQ,Social Club,Morley North,Y,LS27,21937,72349938,53.744021,-1.623599,427582,424922,Y,,,,,Glass,1,,1,,,,,,,,,,,,
Bulls Head Public House,20 St Matthews Street,LS11 9NR,Pub,Beeston and Holbeck,,LS11,21939,72643413,53.786237,-1.559838,432303,429098,Y,,,,,Glass,1,,3,355.24,,716.44,220.35,,,,,,,,
Car Park,Hyde Park Road Site 1,LS6 1PY,Car Park,Hyde Park and Woodhouse,,LS6,22188,72103767,53.806171,-1.5688884,434517,428489,,,,,,,,,,,,,,,,,,,,,
Bus Terminus,Sir George Martins Drive,LS16 8JE,Transport,Adel and Wharfedale,Y,LS16,21941,72256138,53.853396,-1.577072,439768,427918,Y,,,,,Glass,1,,4,12751.94,17487.88,13524.17,8233.42,9757.99,,,,,,,
Butterbowl,Butterbowl Drive,LS12 5JQ,Pub,Farnley and Wortley,Y,LS12,21942,72720850,53.785827,-1.610157,432238,425783,Y,,,,,Glass,1,,1,586.35,1015.62,1307.47,1058.84,1308.72,,,,,,,
Buzz Bingo,Stonebridge Lane,LS12 4QN,Business,Farnley and Wortley,Y,LS12,22016,72566622,53.792398,-1.613178,432968,425580,Y,,,,,Glass,1,,1,,,674.77,101.66,,,,,,,,
Calverley Conservative Club,"Victoria Street, Calverley",LS28 5PT,Social Club,Calverley and Farsley,Y,LS28,21943,72272754,53.82743,-1.689123,436841,420560,Y,,,,,Glass,1,,1,2572.03,3196.78,3423.75,2058.95,2379.62,,,,,,,
Cardinal Court Residents Association,Cardinal Court,LS11 8HP,Community Centre,,,LS11,23138,72725099,53.764868,-1.570377,429921,428418,Y,,,,,Glass,1,,1,557.24,335.72,928.62,,727.26,,,,,,,
Caribbean Cricket Club,"Scott Hall Rd, Leeds",LS7 2HH,Social Club,Chapel Allerton,Y,LS7,22227,72566311,53.820315,-1.543927,436101,430122,Y,,,,,Glass,1,,1,525.7,0,588.47,134.41,617.03,,,,,,,
Carlton WMC,"Main Street, Carlton",WF3 3RW,Social Club,Rothwell,Y ,WF3,21945,72567722,53.741007,-1.489339,427302,433779,Y,,,,,Glass,1,,2,,1471.58,514.16,1645.3,,,,,,,,
Carpark,"Richardshaw Road, Stanningley",LS28 6AH,Car Park,Pudsey,Y,LS28,22203,72567603,53.803623,-1.666614,434199,422054,Y,,,,,Glass,1,,1,,,,2393.21,1636.12,,,,,,,
Beech Hill Car park,"7A Westgate, Otley",LS21 3AT,Car Park,Otley and Yeadon,Y,LS21,,72340364,53.905732,-1.695225,445551,420121,Y,,,,,Glass,1,,2,,,0,142.65,228.32,,,,,,,
Carr Mills,Buslingthorpe Lane,LS7 2DD,Student Accomodation,Chapel Allerton,,LS7,21946,72034088,53.815997,-1.54531,435620,430034,Y,,,,,Glass,1,,1,,,,723.22,,,,,,,,
Carriers Arms,"Glen Road, Morley",LS27 9HG,Pub,Morley South,Y,LS27,21947,72364795,53.739934,-1.596891,427137,426686,Y,,,,,Glass,1,,1,153.94,771.79,630.42,514.03,689.48,,,,,,,
Chapel Allerton Tennis Sqush and GymClub ,Wensley Avenue,LS7 3QX,Leisure Centre,Chapel Allerton,,LS7,22075,72559687,53.829902,-1.540768,437169,430323,Y,,,,,Glass,1,,1,528.24,488.35,507.65,513.31,617.03,,,,,,,
Chapel Street Social Club,Chapel Street,LS15 7RN,Social Club,Temple Newsam,Y,LS15,21950,72562231,53.796769,-1.468257,433516,435123,Y,,,,,Glass,1,,3,,,,1723.33,604.29,,,,,,,
Chapeltown Housing Library,Reginald Terrace,LS7 3EX,Council Office,Chapel Allerton,Y,LS7,21951,72681718,53.81767,-1.531697,435812,430929,Y,,,,,Glass,1,,1,0,1226.64,266.5,443.24,406.37,,,,,,,
Charlie Bretts at The Allerton formely Leeds Seventeen,Nursery Lane,LS17 7HW,Restaurant,Alwoodley,,LS17,22079,72146612,53.852306,-1.544354,439660,430071,Y,,,,,Glass,1,,3,3810.65,3308.13,2511.77,6485.16,3690.44,,,,,,,
Chequers Inn,"Claypit Lane, Ledsham",LS25 5LP,Pub,Kippax and Methley,,LS25,21952,72393541,53.762153,-1.310796,429754,445532,Y,Y,,,,"Glass, Paper",1,,3,,,1494.06,,,,,,,,,
City Island Apartments / Waterside Apartments,Gotts Road,LS12 1AD,Road Side,City and Hunslet,Y,LS12,21955,72662515,53.795383,-1.563447,433319,428854,Y,,,,,Glass,1,,3,761.72,1680.77,1050.76,2053.95,,,,,,,,
Coach & Horses ,"71 Wakefield Road, Robin Hood ",LS26 0SF,Pub,Ardsley and Robin Hood,Y,LS26,21957,72373027,53.748778,-1.507761,428158,432558,Y,,,,,Glass,1,,1,592.87,309.41,762.07,1171.32,564.46,,,,,,,
Cock Beck Inn,Pendas Way Seacroft,LS15 8LA,Pub,Cross Gates and Whinmoor,Y,LS15,21958,72538870,53.815535,-1.438417,435619,437072,Y,,,,,Glass,1,,1,4189.64,9231.03,7577.26,4603.6,4605.73,,,,,,,
Cockshott Lane,opp Wyther Park Road,LS12 7RQ,Road Side,Armley,,LS12,21959,72050867,53.805101,-1.609456,434383,425817,Y,,,,,Glass,1,,1,1532.96,1960.1,1612.9,1504,1509.36,,,,,,,
Colton Sports & Social,School Lane,LS15 9HH,Sports Club,Temple Newsam,,LS15,21960,72245706,53.793078,-1.439461,433120,437023,Y,,,,,Glass,1,,1,,,,650.96,,,,,,,,
Commercial Pub,Whingate,LS12 3HZ,Pub,Armley,,LS12,21961,72238126,53.795457,-1.600185,433313,426434,Y,,,,,Glass,1,,3,3864.07,3927.54,7742.62,3732.22,3645.14,,,,,,,
Cookridge Hall (Esporta Sports Club),Cookridge Lane,LS16 7NL,Leisure Centre,Adel and Wharfedale,,LS16,21998,72655222,53.861768,-1.610166,440687,425736,Y,,,,,Glass,1,,1,,,,,,,,,,,,
Co-op Beeston   Super 'C',"Town Street, Beeston",LS11 8PN,Supermarket,Beeston and Holbeck,Y,LS11,22251,72652832,53.812206,-1.577867,435185,427893,Y,,,,,Glass,1,,5,5956.55,8930.84,9524.22,7268.97,5635.77,,,,,,,
Co-op Burley Station,132 Cardigan Road,LS6 1LU,Supermarket,Headingley,Y,LS6,21965,72733326,53.812256,-1.576773,435191,427965,Y,,,,,Glass,1,,5,8974.38,6406.21,12499.62,4527.31,4515.98,,,,,,,
Co-op Kippax,"60 High Street, Kippax",LS25 7AB,Supermarket,Kippax and Methley,Y,LS25,21966,72324458,53.766349,-1.367619,430186,441782,Y,Y,,,,"Glass, Paper",1,,4,12846.67,12232.97,18323.54,15693.19,14650.01,,,,,,,
Co-op School Lane,Stainbeck Lane,LS7 3PJ,Supermarket,Chapel Allerton,Y,LS7,21967,72737735,53.772444,-1.565809,430766,428714,Y,,,,,Glass,1,,4,18139.03,22901.28,22968.36,19500.83,18616.32,,,,,,,
Corner House Club,Lidgett Lane,LS17 6QE,Social Club,Moortown,Y,LS17,21968,72522938,53.841514,-1.533513,438464,430792,Y,,,,,Glass,1,,1,8661.01,10448.98,11236.34,6746.71,7628.29,,,,,,,
Corpus Christi Catholic Mens Club,Halton Moor Avenue,LS9 0HD,Social Club,Temple Newsam,,LS9,21969,72560923,53.798579,-1.483356,433710,434127,Y,,,,,Glass,1,,3,,175.02,625.34,493.59,,,,,,,,
Cottingley Shops Car Park,Cottingley Vale,LS11 0JY,Shops,Beeston and Holbeck,,,22317,72254886,53.769092,-1.583685,430386,427538,Y,,,,,Glass,,,,158.46,,589.16,,,,,,,,,
Cricketers Arms,"The Green, Seacroft",LS14 6JW,Pub,Killingbeck and Seacroft,Y,LS14,21975,72210056,53.819923,-1.460293,436096,435628,Y,,,,,Glass,1,,1,621.6,82.27,643.48,452.87,640.39,,,,,,,
Crossgates & Dist. Rec Hall,"Poplar Avenue, Crossgates",LS15 8ED,Social Club,Cross Gates and Whinmoor,Y,LS15,21976,72159210,53.806648,-1.446584,434626,436542,Y,,,,,Glass,1,,3,,,,2269.77,,,,,,,,
Crossgates WMC,Orchard Road,LS15 7LP,Social Club,Killingbeck and Seacroft,,LS15,21978,72150534,53.805862,-1.455524,434534,435954,Y,,,,,Glass,1,,3,1045.64,730.92,,780,,,,,,,,
Crusader Public House,"Long Meadow Gate, Garforth ",LS25 2BY,Pub,Garforth and Swillington,Y,LS25,21980,72314954,53.783566,-1.378652,432095,441038,Y,Y,,,,"Glass, Paper, Small Electrical applicanes",1,,3,8700.42,9615.53,14157.94,9151.55,8666.12,,,,,,,
Deepdale Community Centre,"Deepdale Lane, Boston Spa",LS23 6EH,Childrens Centre,Wetherby,Y,LS23,21981,72651236,53.907551,-1.356826,445902,442351,Y,,,,,Glass,1,,1,9531.19,13890.51,11708.24,11067.42,9209.2,,,,,,,
Devon Hotel,Kingswear Crescent,LS15 8LR,Pub,Cross Gates and Whinmoor,Y,LS15,21982,72111147,53.80243,-1.444119,434158,436708,Y,,,,,Glass,1,,3,6850.2,5249.32,5819.79,5302.04,2825.35,,,,,,,
Devonshire Hall,Cumberland Rd,LS6 2EQ,Business,Headingley,,LS6,23142,72055042,53.818326,-1.565614,435871,428696,Y,,,,,Glass,1,,,,,,,,,,,,,,
Dewsbury Rd Social Club,Dewsbury Road,LS11 5LR,Social Club,Beeston and Holbeck,,LS11,21983,72532349,53.770104,-1.550312,430512,429737,Y,,Y,,,"Glass, Textiles",1,,1,633.85,,,651.44,,,,,,,,
East Keswick Village Hall,"School Lane, East Keswick",LS17 9DA,Business,Harewood,Y,LS17,,72389414,53.893829,-1.449648,444324,436265,,Y,,,,Paper,1,,1,,,,,,,,,,,,
Drighlington Cricket Club,Station Road,BD11 1JU,Sports Club,Morley North,Y,BD11,21985,72547352,53.755411,-1.663447,428836,422288,Y,Y,,,,"Glass, Paper",1,,3,5672,6571.81,11178.7,6490.15,6041.5,,,,,,,
Driglington Tempest Club,Bradford Road,BD11 1AB,Social Club,Morley North,,BD11,22332,72352819,53.75745,-1.663112,429063,422309,Y,Y,,,,"Glass, Paper",,,,153.94,79.14,630.42,,,,,,,,,
Duke Of Wellington,"Main Street, East Keswick",LS17 9DB,Pub,Harewood,Y,LS17,21987,72389346,53.892047,-1.451072,444125,436173,Y,,,,,Glass,1,,1,2257.84,2948.49,2173.47,1722.06,2141.97,,,,,,,
East & West Ardsley WMC (closed),"Bradford Road, East Ardsley",WF3 2EP,Social Club,Ardsley and Robin Hood,Y ,WF3,21988,72546324,53.727642,-1.552296,425787,429636,Y,,,,,Glass,1,,3,3130.59,3440.18,5969.12,2212.21,2215.12,,,,,,,
East End Park WMC (closed),15 Vinery Avenue ,LS9 9LX,Social Club,Burmantofts and Richmond Hill,Y,LS9,21990,72561691,53.796132,-1.510744,433425,432325,Y,,,,,Glass,1,,2,1110.43,2107.75,2166.09,1347.69,1933.37,,,,,,,
East Keswick Village Hall,"School Lane, East Keswick",LS17 9DA,Business,Alwoodley,,LS17,,72389414,53.893829,-1.449648,444324,436265,N,Y,,,,Paper,1,,0,,,,,,,,,,,,
East Leeds Community Sports Club,Easy Road,LS9 8QS,Sports Club,Burmantofts and Richmond Hill,Y,LS9,21993,72062721,53.791381,-1.518374,432893,431826,Y,,,,,Glass,1,,1,,283.77,,,551.93,,,,,,,
East Leeds Cricket Club,Pontefract Lane,LS9 0PT,Sports Club,Burmantofts and Richmond Hill,,LS9,21991,72565932,53.790231,-1.511753,432768,432263,Y,,,,,Glass,1,,1,,,,,,,,,,,,
East Leeds Snooker C,Sandleas Way,LS15 7AF,Sports Club,Cross Gates and Whinmoor,Y,LS15,21992,72178034,53.808708,-1.429792,434864,437646,Y,,,,,Glass,1,,1,,,675.29,,277.1,,,,,,,
Easterley Cross,Off St Wilfreds Ave,LS8 3PB,Road Side,Gipton and Harehills,,LS8,22959,72061576,53.816255,-1.507337,435665,432534,Y,,,,,Glass,,,,210.7,346.93,1021.49,,172.58,,,,,,,
Easterly Mount,Gipton,LS8 3PH,Road Side,Gipton and Harehills,,LS8,21994,72195894,53.817053,-1.505698,435755,432641,Y,,,,,Glass,1,,1,537.91,443.36,510.74,,345.16,,,,,,,
Echem,147 Kirkstall Road,LS3 1JN,Business,Armley,Y,LS3,22331,72112771,53.802497,-1.572149,434107,428276,Y,,,,,Glass,1,,1,,,,,,,,,,,,
Edmund House Club,Pontefract Lane,LS9 8QJ,Social Club,Burmantofts and Richmond Hill,Y,LS9,21995,72538936,53.792032,-1.514814,432967,432060,Y,,,,,Glass,1,,1,,,675.29,344.79,,,,,,,,
Edward 7th WMC,"65 Leeds Road, Allerton Bywater",WF10 2HE,Social Club,Kippax and Methley,Y,WF10,21996,72322947,53.752401,-1.383449,428625,440752,Y,,,,,Glass,1,,1,2117.54,2747.53,2794.3,1462.22,2807.3,,,,,,,
Falconers Rest Public House,"Thorpe Lane, Middleton.",LS10 4EP,Pub,Ardsley and Robin Hood,Y,LS10,22002,72566749,53.738591,-1.543144,427009,430232,Y,,,,,Glass,1,,1,2386.88,2855.24,3370.54,2040.54,1429.5,,,,,,,
Farsley Celtic AFC,Throstle Nest,LS28 5AY,Sports Club,Calverley and Farsley,Y,LS28,22005,72275092,53.80962,-1.664091,434867,422217,Y,,,,,Glass,1,,1,,,3671.69,2731.98,2140.24,,,,,,,
Farsley Celtic AFC Car Park,"Newlands, Farsley, Pudsey",LS28 5BE,Sports Club,Calverley and Farsley,Y,LS28,22006,72275092,53.80962,-1.664091,434867,422217,Y,,,,,Glass,1,,1,3423.01,2478.81,,,,,,,,,,
Farsley Cricket Club,"The Pavillion, Red Lane, Farlsey ",LS28 5JE,Sports Club,Calverley and Farsley,,LS28,22970,72275499,53.813997,-1.677057,435350,421361,Y,,,,,Glass,1,,1,,,,406.62,,,,,,,,
Farsley WMC,"School Sreet off Wesley Street, Farsley",LS28 5EU,Social Club,Calverley and Farsley,Y,LS28,22007,72273773,53.812369,-1.670022,435171,421825,Y,,,,,Glass,1,,1,1110.94,1154.87,1895.86,1400,888.28,,,,,,,
Fearnville Leisure Centre,"Oakwood Lane, Fearnville",LS8 3LF,Leisure Centre,Gipton and Harehills,Y,LS8,22008,72148595,53.815112,-1.488575,435547,433770,Y,,,,,Glass,1,,3,2926.65,2133.13,2618.18,2747.11,2512.11,,,,,,,
Fisherman's Car Park,Weetwood Lane ,LS16 5LT,Restaurant,Weetwood,Y,LS16,21938,72224560,53.828198,-1.582437,436962,427582,Y,Y,,,,"Glass, Paper",1,,1,3851.65,4078.17,4458.85,1476.95,,,,,,,,
Football World Leeds,Pontefract Lane,LS9 0RA,Business,Burmantofts and Richmond Hill,,LS9,22011,72672526,53.785803,-1.505977,432278,432647,Y,,,,,Glass,1,,1,,,,,,,,,,,,
Fox & Hound,"Hall Park Road, Walton, Wetherby",LS23 7DQ,Pub,Wetherby,Y,LS23,22013,72393838,53.924192,-1.326404,447772,444332,Y,Y,,,,"Glass, Paper",1,,1,,,,488.51,,,,,,,,
"Fox & Hounds, Bramhope, Public car park","Old Lane, Bramhope",LS16 9AX,Pub,Adel and Wharfedale,Y,LS16,22013,72346130,53.885381,-1.624689,443309,424767,Y,,,,,Glass,1,,5,8844.64,15218.01,17744.98,13076.59,10577.21,,,,,,,
Fox and Grapes,"124 Smalewell Road, Pudsey",LS28 8HU,Pub,Pudsey,Y,LS28,22014,72391238,53.851198,-1.391727,439612,440112,Y,,,,,Glass,1,,1,0,738.58,402.34,406.62,326.04,,,,,,,
Fox Inn,"Main Street, Thorner",LS14 3DX,Pub,Harewood,Y,LS14,22015,72385674,53.8573,-1.428067,440271,437716,Y,,,,,Glass,1,,1,698.07,,0,,,,,,,,,
Gaping Goose Public House,"41 Selby Road, Garforth",LS25 1LR,Hotel,Garforth and Swillington,Y,LS25,22018,72314899,53.787068,-1.399182,432473,439682,Y,,,,,Glass,1,,1,601.86,,499.01,316.58,,,,,,,,
Gardeners Arms,"Wide Lane, Morley",LS27 8SU,Pub,Morley South,,LS27,22019,72366983,53.746755,-1.580707,427902,427749,Y,,,,,Glass,1,,1,2148.55,2596.63,3528.27,2724.27,2575.12,,,,,,,
Gardeners Arms Public House,"383 Leeds Road, Lofthouse",WF3 3QE,Pub,Ardsley and Robin Hood,Y ,WF3,22020,72700363,53.7355,-1.504869,426682,432759,Y,,,,,Glass,1,,2,359.35,0,983.21,755.91,580.38,,,,,,,
